 00:00:00.000000 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [S], seq 1852594190, win 65535, options [mss 1460,nop,wscale 6,nop,nop,TS val 729676479 ecr 0,sackOK,eol], length 0
 00:00:00.041144 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [S.], seq 1658809771, ack 1852594191, win 28960, options [mss 1400,sackOK,TS val 2521817020 ecr 729676479,nop,wscale 7], length 0
 00:00:00.041193 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 1, win 2060, options [nop,nop,TS val 729676520 ecr 2521817020], length 0
 00:00:00.099451 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 8329, win 1939, options [nop,nop,TS val 729676577 ecr 2521817070], length 0
 00:00:00.099460 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 11105, win 1896, options [nop,nop,TS val 729676577 ecr 2521817070], length 0
 00:00:00.099473 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 13881, win 1852, options [nop,nop,TS val 729676577 ecr 2521817070], length 0
 00:00:00.099691 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 13881, win 2048, options [nop,nop,TS val 729676577 ecr 2521817070], length 0
 00:00:00.137077 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 13881:15269, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138550 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 15269:16657, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138596 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 16657, win 2026, options [nop,nop,TS val 729676615 ecr 2521817115], length 0
 00:00:00.138722 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 16657:18045, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138725 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 18045:19433, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138760 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 19433, win 2004, options [nop,nop,TS val 729676615 ecr 2521817115], length 0
 00:00:00.138770 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 19433:20821, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138773 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 20821:22209, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138789 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 22209, win 1961, options [nop,nop,TS val 729676615 ecr 2521817115], length 0
 00:00:00.138853 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 22209:23597, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.138926 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 23597, win 2048, options [nop,nop,TS val 729676615 ecr 2521817115], length 0
 00:00:00.140637 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 23597:24985, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140641 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 24985:26373, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140643 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 26373:27761, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140644 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 27761:29149, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140647 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 29149:30537, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140648 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 30537:31925, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140651 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 31925:33313, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.140700 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 26373, win 2004, options [nop,nop,TS val 729676617 ecr 2521817115], length 0
 00:00:00.140717 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 29149, win 1961, options [nop,nop,TS val 729676617 ecr 2521817115], length 0
 00:00:00.140727 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 31925, win 1917, options [nop,nop,TS val 729676617 ecr 2521817115], length 0
 00:00:00.140866 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 33313, win 2048, options [nop,nop,TS val 729676617 ecr 2521817115], length 0
 00:00:00.142497 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 33313:34701, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.142501 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 34701:36089, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.142503 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 36089:37477, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.142504 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 37477:38865, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.142507 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 38865:40253, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.142508 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 40253:41641, ack 122, win 227, options [nop,nop,TS val 2521817115 ecr 729676577], length 1388: HTTP
 00:00:00.142558 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 36089, win 2004, options [nop,nop,TS val 729676618 ecr 2521817115], length 0
 00:00:00.142582 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 38865, win 1961, options [nop,nop,TS val 729676618 ecr 2521817115], length 0
 00:00:00.142595 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 41641, win 1917, options [nop,nop,TS val 729676618 ecr 2521817115], length 0
 00:00:00.142732 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 41641, win 2048, options [nop,nop,TS val 729676618 ecr 2521817115], length 0
 00:00:00.175248 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 41641:43029, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182131 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 43029:44417, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182138 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 44417:45805, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182141 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 45805:47193, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182143 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 47193:48581, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182147 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 48581:49969, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182150 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 49969:51357, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182154 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 51357:52745, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182159 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 52745:54133, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182162 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 54133:55521, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182167 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 55521:56909, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182169 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 56909:58297, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182173 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 58297:59685, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182175 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 59685:61073, ack 122, win 227, options [nop,nop,TS val 2521817153 ecr 729676615], length 1388: HTTP
 00:00:00.182177 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 61073:62461, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182181 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 62461:63849, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182184 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 63849:65237, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182187 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 65237:66625, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182189 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 66625:68013, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182192 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 68013:69401, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182197 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 69401:70789, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182199 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 70789:72177, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182202 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 72177:73565, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182205 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 73565:74953, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182207 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 74953:76341, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182210 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [P.], seq 76341:77729, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182212 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 77729:79117, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182215 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 79117:80505, ack 122, win 227, options [nop,nop,TS val 2521817156 ecr 729676617], length 1388: HTTP
 00:00:00.182217 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 80505:81893, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.182220 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 81893:83281, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.182223 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 83281:84669, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.182301 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 44417, win 2026, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182324 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 47193, win 1982, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182334 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 49969, win 1939, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182347 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 52745, win 1896, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182359 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 55521, win 1852, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182371 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 58297, win 1809, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182381 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 61073, win 1766, options [nop,nop,TS val 729676656 ecr 2521817153], length 0
 00:00:00.182394 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 63849, win 1722, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182404 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 66625, win 1679, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182415 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 69401, win 1635, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182426 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 72177, win 1592, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182441 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 74953, win 1549, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182452 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 77729, win 1505, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182465 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 80505, win 1462, options [nop,nop,TS val 729676656 ecr 2521817156], length 0
 00:00:00.182478 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 83281, win 1419, options [nop,nop,TS val 729676656 ecr 2521817158], length 0
 00:00:00.182578 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 84669, win 1653, options [nop,nop,TS val 729676656 ecr 2521817158], length 0
 00:00:00.182902 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 84669, win 1909, options [nop,nop,TS val 729676656 ecr 2521817158], length 0
 00:00:00.183063 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 84669, win 2048, options [nop,nop,TS val 729676656 ecr 2521817158], length 0
 00:00:00.183341 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 84669:86057, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183344 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 86057:87445, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183380 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 87445, win 2004, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183447 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 87445, win 2048, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183477 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 87445:88833, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183482 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 88833:90221, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183516 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 90221, win 2004, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183592 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 90221, win 2048, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183785 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 90221:91609, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183789 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 91609:92997, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183822 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 92997, win 2004, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183873 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 92997, win 2048, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183890 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 92997:94385, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183892 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 94385:95773, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.183912 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 95773, win 2004, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.183983 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 95773, win 2048, options [nop,nop,TS val 729676657 ecr 2521817158], length 0
 00:00:00.186445 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 95773:97161, ack 122, win 227, options [nop,nop,TS val 2521817158 ecr 729676618], length 1388: HTTP
 00:00:00.220565 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 97161:98549, ack 122, win 227, options [nop,nop,TS val 2521817198 ecr 729676656], length 1388: HTTP
 00:00:00.220614 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 98549, win 2026, options [nop,nop,TS val 729676693 ecr 2521817158], length 0
 00:00:00.221915 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 98549:99937, ack 122, win 227, options [nop,nop,TS val 2521817198 ecr 729676656], length 1388: HTTP
 00:00:00.221918 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 99937:101325, ack 122, win 227, options [nop,nop,TS val 2521817198 ecr 729676656], length 1388: HTTP
 00:00:00.221921 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 101325:102713, ack 122, win 227, options [nop,nop,TS val 2521817198 ecr 729676656], length 1388: HTTP
 00:00:00.221923 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 102713:104101, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.221993 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 101325, win 2004, options [nop,nop,TS val 729676694 ecr 2521817198], length 0
 00:00:00.222024 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 104101, win 1961, options [nop,nop,TS val 729676694 ecr 2521817198], length 0
 00:00:00.222031 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 104101:105489, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.222034 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 105489:106877, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.222049 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 106877, win 1917, options [nop,nop,TS val 729676694 ecr 2521817199], length 0
 00:00:00.222120 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 106877, win 2048, options [nop,nop,TS val 729676694 ecr 2521817199], length 0
 00:00:00.227029 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 106877:108265, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227034 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 108265:109653, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227036 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 109653:111041, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227039 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 111041:112429, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227041 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 112429:113817, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227044 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 113817:115205, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227046 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 115205:116593, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227048 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 116593:117981, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227050 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 117981:119369, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227052 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 119369:120757, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227055 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 120757:122145, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227057 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 122145:123533, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227060 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 123533:124921, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
 00:00:00.227062 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 124921:126309, ack 122, win 227, options [nop,nop,TS val 2521817199 ecr 729676656], length 1388: HTTP
